cb,trademark,model,diameter,gain
151,GABRIEL ELECTRONICS. INC.,HE4-144A,1.2,42.6
151,GABRIEL ELECTRONICS. INC.,HE4-E144,1.2,42.6
151,GABRIEL ELECTRONICS. INC.,HE6-144A,1.8,46.1
151,GABRIEL ELECTRONICS. INC.,HED2-144A,0.6,36.4
151,GABRIEL ELECTRONICS. INC.,HED4-144A,1.2,42.5
151,GABRIEL ELECTRONICS. INC.,HED6-144A,1.8,46.0
151,GABRIEL ELECTRONICS. INC.,PE2.5-144B,1.5,38.6
151,GABRIEL ELECTRONICS. INC.,PE2-144A,0.6,36.7
151,GABRIEL ELECTRONICS. INC.,PE4-144A,1.2,42.7
151,GABRIEL ELECTRONICS. INC.,PE6-144A,1.8,46.2
151,GABRIEL ELECTRONICS. INC.,RF10-144ASE,3.0,50.4
151,GABRIEL ELECTRONICS. INC.,RF2.5-144ASE,1.5,38.5
151,GABRIEL ELECTRONICS. INC.,RF2-144ASE,0.6,36.6
151,GABRIEL ELECTRONICS. INC.,RF4-144ASE,1.2,42.6
151,GABRIEL ELECTRONICS. INC.,RF6-144ASE,1.8,46.1
151,GABRIEL ELECTRONICS. INC.,RF8-144ASE,2.4,48.5
151,GABRIEL ELECTRONICS. INC.,SR10-144ASE,3.0,50.2
151,GABRIEL ELECTRONICS. INC.,SR2.5-144BSE,1.5,38.3
151,GABRIEL ELECTRONICS. INC.,SR2-144CSE,0.6,36.4
151,GABRIEL ELECTRONICS. INC.,SR4-144CSE,1.2,42.4
151,GABRIEL ELECTRONICS. INC.,SR6-144ASE,1.8,45.8
151,GABRIEL ELECTRONICS. INC.,SR8-144ASE,2.4,48.3
151,GABRIEL ELECTRONICS. INC.,SRD10-144ASE,3.0,50.1
151,GABRIEL ELECTRONICS. INC.,SRD2.5-144ASE,1.5,38.2
151,GABRIEL ELECTRONICS. INC.,SRD2-144ASE,0.6,36.3
151,GABRIEL ELECTRONICS. INC.,SRD4-144ASE,1.2,42.3
151,GABRIEL ELECTRONICS. INC.,SRD6-144ASE,1.8,45.9
151,GABRIEL ELECTRONICS. INC.,SRD8-144BSE,2.4,48.2
151,ANDREW CORPORATION,HP2-144,0.6,36.3
151,ANDREW CORPORATION,HSX10-144,3.0,50.5
151,ANDREW CORPORATION,HSX4-144,1.2,42.7
151,ANDREW CORPORATION,HSX6-144,1.8,46.3
151,ANDREW CORPORATION,HXPD6-144A,1.8,46.1
151,ANDREW CORPORATION,HXPD6-144A,1.8,46.1
151,ANDREW CORPORATION,HXPD8-144,2.4,48.8
151,ANDREW CORPORATION,HXPD8-144,2.4,48.8
151,ANDREW CORPORATION,P10-144,3.0,50.5
151,ANDREW CORPORATION,P2-144F,0.6,36.5
151,ANDREW CORPORATION,P4-144D,1.2,42.5
151,ANDREW CORPORATION,P6-144D,1.8,46.1
151,ANDREW CORPORATION,P8-144,2.4,48.6
151,ANDREW CORPORATION,PX10-144,3.0,50.5
151,ANDREW CORPORATION,PX4-144,1.2,42.5
151,ANDREW CORPORATION,PX6-144,1.8,46.1
151,ANDREW CORPORATION,PX6-144C,1.8,46.1
151,ANDREW CORPORATION,PX8-144,2.4,48.6
151,ERICSSON,UKY 210 42/DC12,1.2,42.7
151,ERICSSON,UKY 210 42/SC11,1.2,42.7
151,ERICSSON,UKY 210 42/SC15,1.2,42.7
151,ERICSSON,UKY 210 52/DC12,1.8,46.4
151,ERICSSON,UKY 210 52/SC11,1.8,46.4
151,ERICSSON,UKY 210 52/SC15,1.8,46.4
151,ERICSSON,UKY 210 52/SC31,1.8,46.4
151,ERICSSON,UKY 210 52/SC35,1.8,46.4
151,ERICSSON,UKY 210 71/DC12,0.3,32.0
151,ERICSSON,UKY 210 71/SC11,0.3,32.1
151,ERICSSON,UKY 210 71/SC15,0.3,32.1
151,ERICSSON,UKY 210 76/DC12,0.6,37.7
151,ERICSSON,UKY 210 76/SC11,0.6,36.6
151,ERICSSON,UKY 210 76/SC15,0.6,36.6
151,ERICSSON,UKY 220 03/DC12,2.4,48.7
151,ERICSSON,UKY 220 03/SC12,2.4,47.7
151,ERICSSON,UKY 220 03/SC32,2.4,48.7
151,GABRIEL ELECTRONICS. INC.,RF10-144,3.0,50.5
151,GABRIEL ELECTRONICS. INC.,RF2-144,0.6,36.5
151,GABRIEL ELECTRONICS. INC.,RF4-144,1.2,42.5
151,GABRIEL ELECTRONICS. INC.,SR2.5-144,1.5,38.2
151,GABRIEL ELECTRONICS. INC.,SR4-144,1.2,42.3
151,GABRIEL ELECTRONICS. INC.,SRD8H-144SE,2.4,48.4
151,MARK ANTENNAS DIV. RSINC.,HP-150A120,3.0,51.0
151,MARK ANTENNAS DIV. RSINC.,HP-150A48,1.2,43.0
151,MARK ANTENNAS DIV. RSINC.,HP-150A48D,1.2,43.0
151,MARK ANTENNAS DIV. RSINC.,HP-150A72,1.8,46.5
151,MARK ANTENNAS DIV. RSINC.,HP-150A72D,1.8,46.5
151,MARK ANTENNAS DIV. RSINC.,HP-150A96,2.4,49.0
151,MARK ANTENNAS DIV. RSINC.,HP-150A96D,2.4,49.0
151,MARK ANTENNAS DIV. RSINC.,HP-150B48,1.2,42.6
151,MARK ANTENNAS DIV. RSINC.,HP-150D24,0.6,37.0
151,MARK ANTENNAS DIV. RSINC.,P-150A120,3.0,50.9
151,MARK ANTENNAS DIV. RSINC.,P-150A48,1.2,42.6
151,MARK ANTENNAS DIV. RSINC.,P-150A72,1.8,46.5
151,MARK ANTENNAS DIV. RSINC.,P-150A72D,1.8,46.5
151,MARK ANTENNAS DIV. RSINC.,P-150A96,2.4,48.5
151,MARK ANTENNAS DIV. RSINC.,P-150B24,0.6,36.7
151,MARK ANTENNAS DIV. RSINC.,P-150B48,1.2,43.0
181,ANDREW CORPORATION,HP4-180F,1.2,44.9
181,ANDREW CORPORATION,VHP1-173,0.3,32.5
181,ANDREW CORPORATION,VHP2-173,0.6,38.1
181,ANDREW CORPORATION,VP4-173,1.2,44.2
181,ANDREW CORPORATION,VP6-173,1.8,47.6
181,ANDREW CORPORATION,HP1-180A,0.3,33.1
181,ANDREW CORPORATION,HP2-180G,0.6,38.9
181,ANDREW CORPORATION,HP6-180F,1.8,48.5
181,ANDREW CORPORATION,HP8-180,2.4,50.7
181,ANDREW CORPORATION,HP8-180A,2.4,50.7
181,ANDREW CORPORATION,HPX1-180A,0.3,32.9
181,ANDREW CORPORATION,HPX2-180B,0.6,38.9
181,ANDREW CORPORATION,HPX4-180A,1.2,44.5
181,ANDREW CORPORATION,HPX6-180A,1.8,47.9
181,ANDREW CORPORATION,HSX1-180,0.3,33.0
181,ANDREW CORPORATION,HSX1-180,0.3,33.0
181,ANDREW CORPORATION,HSX2-180,0.6,38.4
181,ANDREW CORPORATION,HSX2-180,0.6,38.4
181,ANDREW CORPORATION,HSX2-180,0.6,38.4
181,ANDREW CORPORATION,HSX2-180,0.6,38.4
181,ANDREW CORPORATION,HSX4-180,1.2,44.4
181,ANDREW CORPORATION,HSX4-180,1.2,44.4
181,ANDREW CORPORATION,HSX4-180,1.2,44.4
181,ANDREW CORPORATION,HSX4-180,1.2,44.4
181,ANDREW CORPORATION,HSX6-180,1.8,48.0
181,ANDREW CORPORATION,HSX6-180,1.8,48.0
181,ANDREW CORPORATION,P8-180,2.4,50.7
181,ANDREW CORPORATION,VHLP1-180,0.3,34.0
181,ANDREW CORPORATION,VHLP2.5-180,1.5,41.0
181,ANDREW CORPORATION,VHLP2-180,0.6,38.7
181,ANDREW CORPORATION,VHLP4-180,1.2,44.7
181,ANDREW CORPORATION,VHP1-180,0.3,33.1
181,ANDREW CORPORATION,VHP2.5-180,1.5,41.2
181,ANDREW CORPORATION,VHP2.5-180,1.5,41.2
181,ANDREW CORPORATION,VHP2-180A,0.6,38.7
181,ANDREW CORPORATION,VHP2-180B,0.6,38.7
181,ANDREW CORPORATION,VHP4-180A,1.2,44.6
181,ANDREW CORPORATION,VHP4-180A,1.2,44.6
181,ANDREW CORPORATION,VHP6-180A,1.8,48.0
181,ANDREW CORPORATION,VHP6-180A,1.8,48.0
181,ANDREW CORPORATION,VHPX1-180,0.3,32.9
181,ANDREW CORPORATION,VHPX2.5-180,1.5,41.0
181,ANDREW CORPORATION,VHPX2.5-180,1.5,41.0
181,ANDREW CORPORATION,VHPX2-180A,0.6,38.4
181,ANDREW CORPORATION,VHPX2-180A,0.6,38.4
181,ANDREW CORPORATION,VHPX4-180A,1.2,44.5
181,ANDREW CORPORATION,VHPX4-180A,1.2,44.5
181,ANDREW CORPORATION,VHPX6-180A,1.8,47.9
181,ANDREW CORPORATION,VP2-180A,0.6,38.9
181,ANDREW CORPORATION,VP2-180A,0.6,38.9
181,ANDREW CORPORATION,VP4-180A,1.2,44.8
181,ANDREW CORPORATION,VP6-180A,1.8,48.2
181,ERICSSON,UKY 210 43/DC12,1.2,44.6
181,ERICSSON,UKY 210 43/SC11,1.2,44.6
181,ERICSSON,UKY 210 43/SC15,1.2,44.6
181,ERICSSON,UKY 210 53/DC12,1.8,48.5
181,ERICSSON,UKY 210 53/SC11,1.8,48.5
181,ERICSSON,UKY 210 53/SC15,1.8,48.5
181,ERICSSON,UKY 210 53/SC31,1.8,48.5
181,ERICSSON,UKY 210 53/SC35,1.8,48.5
181,ERICSSON,UKY 210 72/DC12,0.3,34.7
181,ERICSSON,UKY 210 72/SC11,0.3,34.4
181,ERICSSON,UKY 210 72/SC15,0.3,34.4
181,ERICSSON,UKY 210 77/DC12,0.6,39.8
181,ERICSSON,UKY 210 77/SC11,0.6,39.2
181,ERICSSON,UKY 210 77/SC15,0.6,39.2
181,GABRIEL ELECTRONICS. INC.,HE1.5-180A,1.5,36.3
181,GABRIEL ELECTRONICS. INC.,HE1-180A,0.3,32.5
181,GABRIEL ELECTRONICS. INC.,HE2.5-180B,1.5,40.7
181,GABRIEL ELECTRONICS. INC.,HE2-180C,0.6,38.9
181,GABRIEL ELECTRONICS. INC.,HE4-180B,1.2,44.9
181,GABRIEL ELECTRONICS. INC.,HE6-180B,1.8,48.2
181,GABRIEL ELECTRONICS. INC.,HED2-180220,0.6,38.7
181,GABRIEL ELECTRONICS. INC.,HED2-180A,0.6,38.8
181,GABRIEL ELECTRONICS. INC.,HED4-180220,1.2,44.7
181,GABRIEL ELECTRONICS. INC.,HED4-180A,1.2,44.8
181,GABRIEL ELECTRONICS. INC.,HED6-180220,1.8,47.9
181,GABRIEL ELECTRONICS. INC.,HED6-180A,1.8,48.1
181,GABRIEL ELECTRONICS. INC.,PE2.5-180A,1.5,40.8
181,GABRIEL ELECTRONICS. INC.,PE2-180A,0.6,39.0
181,GABRIEL ELECTRONICS. INC.,PE4-180B,1.2,45.0
181,GABRIEL ELECTRONICS. INC.,PE6-180A,1.8,48.3
181,GABRIEL ELECTRONICS. INC.,RF2.5-180BSE,1.5,40.9
181,GABRIEL ELECTRONICS. INC.,RF2-180BSE,0.6,39.0
181,GABRIEL ELECTRONICS. INC.,RF4-180CSE,1.2,45.0
181,GABRIEL ELECTRONICS. INC.,RF6-180CSE,1.8,48.3
181,GABRIEL ELECTRONICS. INC.,RF8-180BSE,2.4,50.4
181,GABRIEL ELECTRONICS. INC.,SR1.5-180BSE,1.5,36.2
181,GABRIEL ELECTRONICS. INC.,SR1-180BSE,0.3,32.5
181,GABRIEL ELECTRONICS. INC.,SR2.5-180BSE,1.5,40.7
181,GABRIEL ELECTRONICS. INC.,SR2-180,0.6,38.9
181,GABRIEL ELECTRONICS. INC.,SR2-180CSE,0.6,38.8
181,GABRIEL ELECTRONICS. INC.,SR4-108BSE,1.2,44.7
181,GABRIEL ELECTRONICS. INC.,SR4-180,1.2,44.8
181,GABRIEL ELECTRONICS. INC.,SR6-180,1.8,48.3
181,GABRIEL ELECTRONICS. INC.,SR6-180BSE,1.8,48.1
181,GABRIEL ELECTRONICS. INC.,SR8-180BSE,2.4,50.2
181,GABRIEL ELECTRONICS. INC.,SRD2.5-180BSE,1.5,40.6
181,GABRIEL ELECTRONICS. INC.,SRD2-180,0.6,38.8
181,GABRIEL ELECTRONICS. INC.,SRD2-180BSE,0.6,38.7
181,GABRIEL ELECTRONICS. INC.,SRD4-180,1.2,44.6
181,GABRIEL ELECTRONICS. INC.,SRD4-180BSE,1.2,44.6
181,GABRIEL ELECTRONICS. INC.,SRD6-180,1.8,48.0
181,GABRIEL ELECTRONICS. INC.,SRD6-180ASE,1.8,48.0
181,GABRIEL ELECTRONICS. INC.,SRD8-180ASE,2.4,50.1
181,MARK ANTENNAS DIV. RSINC.,HP-170A12,0.3,32.9
181,MARK ANTENNAS DIV. RSINC.,HP-170A18,0.6,36.9
181,MARK ANTENNAS DIV. RSINC.,HP-170A30,0.9,40.8
181,MARK ANTENNAS DIV. RSINC.,HP-170A96,2.4,50.7
181,MARK ANTENNAS DIV. RSINC.,HP-170B72,1.8,48.2
181,MARK ANTENNAS DIV. RSINC.,HP-170B72D,1.8,48.2
181,MARK ANTENNAS DIV. RSINC.,HP-170B96,2.4,50.9
181,MARK ANTENNAS DIV. RSINC.,HP-170D48,1.2,44.7
181,MARK ANTENNAS DIV. RSINC.,HP-170D48D,1.2,44.9
181,MARK ANTENNAS DIV. RSINC.,HP-170E24,0.6,38.9
181,MARK ANTENNAS DIV. RSINC.,HP-170E24D,0.6,38.9
181,MARK ANTENNAS DIV. RSINC.,P-170A30,0.9,40.8
181,MARK ANTENNAS DIV. RSINC.,P-170B72,1.8,48.2
181,MARK ANTENNAS DIV. RSINC.,P-170B72D,1.8,48.2
181,MARK ANTENNAS DIV. RSINC.,P-170C24,0.6,38.9
181,MARK ANTENNAS DIV. RSINC.,P-170C48,1.2,44.7
181,MARK ANTENNAS DIV. RSINC.,P-170C48D,1.2,44.7
181,MARK ANTENNAS DIV. RSINC.,P-170C72D,1.8,48.2
181,MARK ANTENNAS DIV. RSINC.,P-180A24,0.6,39.0
231,ANDREW CORPORATION,HP1B-220A,0.3,34.8
231,ANDREW CORPORATION,HP2-220B,0.6,40.5
231,ANDREW CORPORATION,HP2B-220,0.6,40.5
231,ANDREW CORPORATION,HP4-220B,1.2,46.3
231,ANDREW CORPORATION,HP4B-220A,1.2,45.9
231,ANDREW CORPORATION,HP6-220A,1.8,49.7
231,ANDREW CORPORATION,HPX6-220A,1.8,49.7
231,ANDREW CORPORATION,P2B-220,0.6,40.5
231,ANDREW CORPORATION,VFP1-220,0.3,31.3
231,ANDREW CORPORATION,VHLP1-220,0.3,34.9
231,ANDREW CORPORATION,VHLP2.5-220,1.5,42.6
231,ANDREW CORPORATION,VHLP200-220,0.2,31.1
231,ANDREW CORPORATION,VHLP2-220,0.6,40.1
231,ANDREW CORPORATION,VHLP4-220,1.2,46.0
231,ANDREW CORPORATION,VHP1-220,0.3,34.8
231,ANDREW CORPORATION,VHP1-220,0.3,34.8
231,ANDREW CORPORATION,VHP2.5-220,1.5,42.6
231,ANDREW CORPORATION,VHP2.5-220,1.5,42.6
231,ANDREW CORPORATION,VHP2-220A,0.6,40.1
231,ANDREW CORPORATION,VHP2-220A,0.6,40.1
231,ANDREW CORPORATION,VHP4-220A,1.2,46.1
231,ANDREW CORPORATION,VHP4-220A,1.2,46.1
231,ANDREW CORPORATION,VHP4-240,1.2,46.9
231,ANDREW CORPORATION,VHP4A-220A,1.2,46.1
231,ANDREW CORPORATION,VHP6-220A,1.8,49.4
231,ANDREW CORPORATION,VHP6A-220A,1.8,49.4
231,ANDREW CORPORATION,VHP6A-220A,1.8,49.7
231,ANDREW CORPORATION,VHPX1-220,0.3,34.2
231,ANDREW CORPORATION,VHPX1-220,0.3,34.2
231,ANDREW CORPORATION,VHPX2.5-220,1.5,42.4
231,ANDREW CORPORATION,VHPX2.5-220,1.5,42.4
231,ANDREW CORPORATION,VHPX2-220A,0.6,39.9
231,ANDREW CORPORATION,VHPX2-220A,0.6,39.9
231,ANDREW CORPORATION,VHPX4-220A,1.2,46.0
231,ANDREW CORPORATION,VHPX4A-220A,1.2,46.0
231,ANDREW CORPORATION,VHPX4A-220A,1.2,45.9
231,ANDREW CORPORATION,VHPX6-220A,1.8,49.3
231,ANDREW CORPORATION,VHPX6A-220A,1.8,49.3
231,ANDREW CORPORATION,VP2-220,0.6,40.3
231,ANDREW CORPORATION,VP2-220,0.6,40.3
231,ANDREW CORPORATION,VP4-220A,1.2,46.3
231,ANDREW CORPORATION,VP4-220A,1.2,46.3
231,ANDREW CORPORATION,VP4A-220,1.2,46.3
231,ERICSSON,UKY 210 44/DC12,1.2,46.0
231,ERICSSON,UKY 210 44/SC11,1.2,46.0
231,ERICSSON,UKY 210 44/SC15,1.2,46.0
231,ERICSSON,UKY 210 54/DC12,1.8,49.5
231,ERICSSON,UKY 210 54/SC11,1.8,48.5
231,ERICSSON,UKY 210 54/SC15,1.8,48.5
231,ERICSSON,UKY 210 54/SC31,1.8,49.5
231,ERICSSON,UKY 210 54/SC35,1.8,49.5
231,ERICSSON,UKY 210 60/SC15,0.2,31.8
231,ERICSSON,UKY 210 73/DC12,0.3,36.0
231,ERICSSON,UKY 210 73/SC11,0.3,36.2
231,ERICSSON,UKY 210 73/SC15,0.3,36.2
231,ERICSSON,UKY 210 78/SC11,0.6,40.0
231,ERICSSON,UKY 210 78/SC15,0.6,40.0
231,ERICSSON,UKY 21078/DC12,0.6,41.1
231,GABRIEL ELECTRONICS. INC.,HE1.5-220B,1.5,38.0
231,GABRIEL ELECTRONICS. INC.,HE1-220A,0.3,34.0
231,GABRIEL ELECTRONICS. INC.,HE1-E220 REV.1,0.3,34.0
231,GABRIEL ELECTRONICS. INC.,HE2.5-220B,1.5,42.3
231,GABRIEL ELECTRONICS. INC.,HE2-220C,0.6,40.2
231,GABRIEL ELECTRONICS. INC.,HE2-E220A,0.6,40.1
231,GABRIEL ELECTRONICS. INC.,HE2-EZ220,0.6,40.2
231,GABRIEL ELECTRONICS. INC.,HE4-220B,1.2,46.2
231,GABRIEL ELECTRONICS. INC.,HE4-E220A,1.2,46.0
231,GABRIEL ELECTRONICS. INC.,HE4-EZ220,1.2,46.0
231,GABRIEL ELECTRONICS. INC.,HE6-220,1.8,49.3
231,GABRIEL ELECTRONICS. INC.,HE6-220A,1.8,49.6
231,GABRIEL ELECTRONICS. INC.,HE6-E220A,1.8,48.7
231,GABRIEL ELECTRONICS. INC.,HED2.5-220A,1.5,42.2
231,GABRIEL ELECTRONICS. INC.,HED2-180220,0.6,39.7
231,GABRIEL ELECTRONICS. INC.,HED2-220A,0.6,40.1
231,GABRIEL ELECTRONICS. INC.,HED4-180220,1.2,45.8
231,GABRIEL ELECTRONICS. INC.,HED4-220A,1.2,46.1
231,GABRIEL ELECTRONICS. INC.,HED6-180220,1.8,48.9
231,GABRIEL ELECTRONICS. INC.,HED6-220B,1.8,49.5
231,GABRIEL ELECTRONICS. INC.,PE2.5-220A,1.5,42.4
231,GABRIEL ELECTRONICS. INC.,PE2-220B,0.6,40.3
231,GABRIEL ELECTRONICS. INC.,PE4-220A,1.2,46.3
231,GABRIEL ELECTRONICS. INC.,PE6-220A,1.8,49.7
231,GABRIEL ELECTRONICS. INC.,RF2-220,0.6,40.4
231,GABRIEL ELECTRONICS. INC.,RF2-220BSE,0.6,40.4
231,GABRIEL ELECTRONICS. INC.,RF4-220,1.2,46.2
231,GABRIEL ELECTRONICS. INC.,SR1.5-220BSE,1.5,37.7
231,GABRIEL ELECTRONICS. INC.,SR1-220ASE,0.3,34.0
231,GABRIEL ELECTRONICS. INC.,SR6-220ASE,1.8,49.4
231,GABRIEL ELECTRONICS. INC.,SRD2.5-220ASE,1.5,42.1
231,GABRIEL ELECTRONICS. INC.,SRD2-220ASE,0.6,40.1
231,GABRIEL ELECTRONICS. INC.,SRD4-220ASE,1.2,46.1
231,GABRIEL ELECTRONICS. INC.,SRD6-220ASE,1.8,49.3
231,MARK ANTENNAS DIV. RSINC.,HP-230A12,0.3,34.4
231,MARK ANTENNAS DIV. RSINC.,HP-230A18,0.6,38.4
231,MARK ANTENNAS DIV. RSINC.,HP-230A30,0.9,42.6
231,MARK ANTENNAS DIV. RSINC.,HP-230B72,1.8,49.9
231,MARK ANTENNAS DIV. RSINC.,HP-230B72D,1.8,49.9
231,MARK ANTENNAS DIV. RSINC.,HP-230D48,1.2,46.2
231,MARK ANTENNAS DIV. RSINC.,HP-230D48D,1.2,46.2
231,MARK ANTENNAS DIV. RSINC.,HP-230E24,0.6,40.4
231,MARK ANTENNAS DIV. RSINC.,HP-230E24D,0.6,40.7
231,MARK ANTENNAS DIV. RSINC.,P-230A30,0.9,42.1
231,MARK ANTENNAS DIV. RSINC.,P-230A30D,0.9,42.4
231,MARK ANTENNAS DIV. RSINC.,P-230B72,1.8,49.9
231,MARK ANTENNAS DIV. RSINC.,P-230B72D,1.8,49.9
231,MARK ANTENNAS DIV. RSINC.,P-230C24,0.6,40.4
231,MARK ANTENNAS DIV. RSINC.,P-230C24D,0.6,40.4
231,MARK ANTENNAS DIV. RSINC.,P-230C48,1.2,46.2
231,MARK ANTENNAS DIV. RSINC.,P-230C48D,1.2,46.0
381,ANDREW CORPORATION,VHLP200-370,0.2,34.5
381,GABRIEL ELECTRONICS. INC.,HE1.5-E380,1.5,41.8
381,GABRIEL ELECTRONICS. INC.,HE1-E380 REVIISION A,0.3,38.3
381,GABRIEL ELECTRONICS. INC.,HE2-E380  REV.1,0.6,44.3
381,GABRIEL ELECTRONICS. INC.,HES1-EZ380,0.3,38.5
381,MARK ANTENNAS DIV. RSINC.,HP-380A12,0.3,40.4
381,MARK ANTENNAS DIV. RSINC.,HP-380A24,0.6,45.2
381,MARK ANTENNAS DIV. RSINC.,MHP-380A12,0.3,40.3
381,ANDREW CORPORATION,VHLP1-370,0.3,39.7
381,ANDREW CORPORATION,VHLP2-370,0.6,44.5
381,ANDREW CORPORATION,VHP1-370A,0.3,39.5
381,ANDREW CORPORATION,VHP1-370B,0.3,39.5
381,ANDREW CORPORATION,VHP2-370A,0.6,44.3
381,ANDREW CORPORATION,VHP2-370A,0.6,44.3
381,ANDREW CORPORATION,VHPX1-370,0.3,39.5
381,ANDREW CORPORATION,VHPX2-370,0.6,44.3
381,ERICSSON,UKY 210 61/SC15,0.2,37.5
381,ERICSSON,UKY 210 75/DC12,0.3,39.4
381,ERICSSON,UKY 210 75/SC11,0.3,40.4
381,ERICSSON,UKY 210 75/SC15,0.3,40.4
381,ERICSSON,UKY 210 80/DC12,0.6,44.8
381,ERICSSON,UKY 210 80/SC11,0.6,44.3
381,ERICSSON,UKY 210 80/SC15,0.6,44.3
381,GABRIEL ELECTRONICS. INC.,HE1.5-380B,1.5,41.9
381,GABRIEL ELECTRONICS. INC.,HE1-380A,0.3,38.4
381,GABRIEL ELECTRONICS. INC.,HE1-380B,0.3,38.4
381,GABRIEL ELECTRONICS. INC.,HE2-380A,0.6,44.4
381,GABRIEL ELECTRONICS. INC.,HE2-380B,0.6,44.4
381,GABRIEL ELECTRONICS. INC.,HES1-380,0.3,38.4
381,GABRIEL ELECTRONICS. INC.,SR1.5-380ASE,1.5,41.9
381,GABRIEL ELECTRONICS. INC.,SR1-380ASE,0.3,38.4
381,GABRIEL ELECTRONICS. INC.,SR2-380ASE,0.6,44.4
381,MARK ANTENNAS DIV. RSINC.,HP-381A12,0.3,39.0
381,MARK ANTENNAS DIV. RSINC.,HP-381A24,0.6,45.5
81,FAINI TELECOMMUNICATION SYSTEMS,THP18-071SWB,1.8,41.1
72,,DIAMETER NOT FOUND,2.0,
72,,PL8-71D,2.4,
72,,P671D,1.8,
72,,SP4-71A(P),,
72,,SP4-71A(P),,
72,,VHLP3-7W,,
81,,THP12-071SWB,,
81,,VHLP4-7W,1.2,
81,,SCX2-W71,,
81,,SBX4-W71,,
81,,THP12-071DWB,,
81,,HP4-77G,1.2,
72,,DIAMETER NOT FOUND,2.0,
72,,SP4-71A(P),,
72,,SP4-71A(P),,
72,,DIAMETER NOT FOUND,2.0,
72,,SP4-71A(P),,
72,,SP4-71A(P),,
